Error Code,Internal Software Tag,Explanation,Possible Root Cause
0x40050001,TER_THERMAL_PROBE,The probe is too hot,
0x40050002,TER_THERMAL_TABLET,The tablet is too hot,
0x40050003,TER_THERMAL_PROBE_FAIL,The probe thermal sensor failed,The thermal sensor may be faulty or the flex circuit may be loose or broken.
0x40050004,TER_THERMAL_TABLET_FAIL,The tablet thermal sensor failed,The thermal sensor may be faulty or the flex circuit may be loose or broken.
,,,,
0x40060001,TER_IE_UNDERFLOW,Data Underflow,The probe stopped sending data
0x40060002,TER_IE_OVERFLOW,Data Overflow,The system could not keep up with the incoming data from the probe.  It is possible that the CPU was throttled due to low battery.
0x40060003,TER_IE_SCAN_CONVERTER_SOURCES,Unable to load the Scan Converter Sources,
0x40060004,TER_IE_UPS_EXTRACT,Unable to extract the UPS,
0x40060005,TER_IE_UPS_OPEN,Unable to open the UPS,
0x40060006,TER_IE_UPS_ACCESS,Error accessing the UPS,
0x40060007,TER_IE_DMA_OPEN,Unable to open the DMA buffer,
0x40060008,TER_IE_DAU_POWER,Unable to power up the DAU,
0x40060009,TER_IE_DAU_POWER_REBOOT,A reboot is needed to restore connection to Dau,
0x4006000A,TER_IE_DAU_MEM,Unable to map DAU memory,
0x4006000B,TER_IE_SIGHANDLE_INIT,Unable to initialize the Signal Handler,
0x4006000C,TER_IE_TBF_INIT,Unable to initialize the TBF,
0x4006000D,TER_IE_SSE_INIT,Unable to initialize the SSE,
0x4006000E,TER_IE_DAU_CLOSED,The DAU is closed,
0x4006000F,TER_IE_GAIN,Gain value must be between 0 and 100,
0x40060010,TER_IE_IMAGE_PARAM,Cannot locate an Imaging Case from the supplied parameters,
0x40060011,TER_IE_OPERATION_RUNNING,The operation is invalid while running,
0x40060012,TER_IE_OPERATION_STOPPED,The operation is invalid while stopped,
0x40060013,TER_IE_IMAGE_PROCESSOR_INIT,Failed to initialize Image Processor,
0x40060014,TER_IE_CINE_BUFFER_INIT,Failed to initialize Cine Buffer,
0x40060015,TER_IE_CINE_VIEWER_INIT,Failed to initialize Cine Viewer,
0x40060016,TER_IE_INFERENCE_ENGINE_INIT,Failed to initialize Inference Engine,
0x40060017,TER_IE_DMA_FIFO_NULL,The DMA FIFO is Null,
0x40060018,TER_IE_CINE_VIEWER_REFRESH,Failed to refresh Cine Viewer,
0x400600B0,TER_IE_USB_INIT,Unable to initialize the USB Dau,
0x400600B1,TER_IE_USB_START,Unable to start imaging on USB Dau,
0x400600B2,TER_IE_USB_ERROR,There was a USB error communicating with the Dau,
0x400600B3,TER_IE_USB_TIMED_OUT,USB transfer timed out,
0x400600B4,TER_IE_USB_STALL,USB transfer stalled,
0x400600B5,TER_IE_USB_OVERFLOW,USB data overflowed,
0x400600B6,TER_IE_SEQ_STALLED,Sequencer did not stop in expected time frame,
0x400600B7,TER_IE_UPS_NULL_BLOB,Failed to read sequence blob from UPS,
0x400600B8,TER_IE_UPS_INVALID_BLOB,Size of sequence blob is invalid,
0x400600B9,TER_IE_SEQ_LLE_LOAD_FAILURE,Failed to load sequence linked list,
0x400600BA,TER_IE_SEQ_PLD_LOAD_FAILURE,Failed to load sequence payload,
0x400600BB,TER_IE_UPS_READ_FAILURE,Error occurred retrieving a parameter from UPS,
0x400600BC,TER_IE_INVALID_FOV,Error occurred retrieving FOV,
0x400600BD,TER_IE_NO_ACTIVE_STAGES,Image Processor is engaged with no active processing stage,
0x400600BE,TER_IE_INVALID_HEADER,Frame header count did not match the expected value,
0x400600C1,TER_IE_IMAGING_MODE,Unsupported imaging mode,
0x400600C2,TER_IE_UPS_INTEGRITY,UPS integrity check failed,
0x400600D0,TER_IE_FONT_EXTRACT,Fail to extract the font file,
0x400600D1,TER_IE_FONT_OPEN,Unable to open the font file,
0x400600D2,TER_IE_DAECG_FRAME_INDEX,DA/ECG frame index did not match image frame index,
0x400600D3,TER_IE_COLORFLOW_PARAM,Error in the computation of colorflow beam parameters,
0x400600D4,TER_IE_USB_NO_DEVICE,USB Device disconnected from Host,
0x400600D5,TER_IE_USB_TLV_INVALID,Error in TLV format,
0x400600D6,TER_IE_USB_TLV_ERROR,Error in TLV Parsing,
0x400600D7,TER_IE_USB_TLV_BADPARAMETER,Error in TLV Protocol Parameters,
0x400600D8,TER_IE_UNSUPPORTED_PROBE,Unsupported probe,
,,,,
0x40070001,TER_UMGR_CONTEXT,Unable to create or initialize the Context,
0x40070002,TER_UMGR_REMOTE,There was a RemoteException error.  Check the cause.,
0x40070003,TER_UMGR_DAU_CLOSED,The Dau is closed.  A new instance must be created and opened.,
0x40070004,TER_UMGR_INVALID_PARAM,One of the required parameters is null,
0x40070005,TER_UMGR_NATIVE_WINDOW,Unable to get native window from supplied surface,
0x40070006,TER_UMGR_ASSETMGR,Unable to get native Asset Manager from supplied parameter,
0x40070007,TER_UMGR_DAU_EXISTS,A Dau instance already exists,
0x40070008,TER_UMGR_SVC_ACCESS,Could not access the Ultrasound Service,
0x40070009,TER_UMGR_PLAYER_NOT_ATTACHED,The Ultrasound Player is not attached to the Cine Buffer,
0x4007000A,TER_UMGR_PUCK_EXISTS,A Puck instance already exists,
0x4007000B,TER_UMGR_THOR_ONLY,This operation is only available on the Thor Tablet,
0x4007000C,TER_UMGR_PUCK_CLOSED,The Puck is closed.  A new instance must be created and opened.,
0x4007000D,TER_UMGR_DAU_ATTACHED,The Dau is not connected.,
0x4007000E,TER_UMGR_USB_MANAGER,Could not access USB Manager.,
0x4007000F,TER_UMGR_USB_DEVICE,Could not open the USB device.,
,,,,
0x40080001,TER_APIMGR_NUM_UTPS,Number of UTPs exceeds limit,
0x40080002,TER_APIMGR_UTP_STRING,Parsing of UTP string obtained from API table failed,
0x40080003,TER_APIMGR_UTPID,Failed to find a matching UTP ID in UPS,
0x40080004,TER_APIMGR_INPUT_VECTOR,Failed to setup input vector,
0x40080005,TER_APIMGR_CORRUPTED_REF_DATA,AP&I reference data might be corrupted,
,,,,
0x40090001,TER_AI_MODEL_LOAD,An AI model failed to load,
0x40090002,TER_AI_MODEL_RUN,An AI model failed to run,
0x40090003,TER_AI_FRAME_ID,Failed to identify either ED or ES frame (or both),
0x40090004,TER_AI_FRAME_ID_WARN,Detected ED or ES frame may be invalid. Recommend manual verification,
0x40090005,TER_AI_SEGMENTATION,Failed to segment the requested item,
0x40090006,TER_AI_SC_NOFRAMES,Current clip is too short for smart capture,
0x40090007,TER_AI_SC_NO_VALID_RANGE,No clip range met smart capture requirements,
0x40090008,TER_AI_LV_NOT_FOUND,No LV region found by AI,
0x40090009,TER_AI_MULTIPLE_LV,Multiple possible LV regions found by AI,
0x4009000A,TER_AI_LV_TOO_SMALL,LV region is too small,
0x4009000B,TER_AI_LV_UNCERTAINTY_ERROR,Uncertainty in LV segmentation above threshold,
0x4009000C,TER_AI_A4C_FORESHORTENED,A4C major axis is significantly shorter than A2C major axis,
0x4009000D,TER_AI_A2C_FORESHORTENED,A2C major axis is significantly shorter than A4C major axis,
,,,,
